"V1" "V2" "V3"
"1" 11928.828125 -6.18295288085938 8441.46484375
"2" -999.804565429688 -457.924865722656 7755.81591796875
"3" -1847.34936523438 -216.46305847168 2997.23022460938
"4" -6620.93115234375 12261.9921875 8556.796875
"5" -396.440277099609 495.288970947266 9743.7607421875
"6" 1485.06799316406 3726.38134765625 2689.22534179688
"7" -3530.57690429688 -12331.646484375 7061.9765625
"8" -1264.4638671875 3044.40478515625 6119.80615234375
"9" 364.440795898438 -12053.98828125 5044.79345703125
"10" -1221.88061523438 -1749.21215820312 2689.224609375
"11" 3600.84814453125 -13284.2041015625 6720.17578125
"12" -3296.22705078125 6596.34619140625 8552.1298828125
"13" 1859.00012207031 5452.72900390625 3453.1455078125
"14" -1370.92419433594 -12782.892578125 5662.5087890625
"15" -7607.86767578125 -13260.84765625 8605.4765625
"16" -3536.89965820312 -11461.080078125 4866.041015625
"17" 400.908996582031 3761.1142578125 1928.75451660156
"18" 1143.67224121094 -16.3766021728516 7792.1357421875
"19" -204.900100708008 -7536.9931640625 3017.85595703125
"20" -1614.38903808594 3617.54296875 5539.64990234375
"21" 3849.25415039062 -2595.02709960938 1303.51733398438
"22" -1788.33276367188 -6811.31396484375 3797.0185546875
"23" 785.93798828125 6565.89990234375 4668.0439453125
"24" -3433.37133789062 -11482.7275390625 5144.17626953125
"25" -54.3456344604492 -9933.62890625 3492.87329101562
"26" 984.008666992188 2497.0859375 7291.673828125
"27" 458.553924560547 296.531860351562 11455.3994140625
"28" -1983.9833984375 -1182.16821289062 2544.8505859375
"29" 1920.25134277344 -3660.18041992188 11480.1240234375
"30" 1565.1005859375 2599.66577148438 5669.96728515625
"31" 6908.146484375 -12190.29296875 11681.626953125
"32" 209.069000244141 -4985.43798828125 5847.66845703125
"33" -6695.4990234375 11253.0361328125 8600.7421875
"34" -1836.75830078125 -415.590484619141 3579.26318359375
"35" -1895.03039550781 -5771.9619140625 3181.216796875
"36" -5237.59375 8820.20703125 8401.125
"37" -1426.91687011719 3067.07250976562 5746.13330078125
"38" -1678.55456542969 -3098.7939453125 5377.677734375
"39" 17.8369693756104 5147.6943359375 6219.99365234375
"40" 75.5702514648438 -12628.7734375 6199.1875
"41" -3202.28515625 -13271.357421875 5527.88916015625
"42" 1914.87353515625 2797.25659179688 3082.42431640625
"43" 2403.611328125 -141.013488769531 2244.9658203125
"44" -1910.39489746094 1961.9619140625 2859.43579101562
"45" -1916.13745117188 -3514.24951171875 3067.912109375
"46" 641.840087890625 1207.74584960938 11435.2294921875
"47" -31.0133419036865 31.9004325866699 10949.90625
"48" 1594.84167480469 887.376220703125 6791.56494140625
"49" -3668.70751953125 -13559.5146484375 7036.0166015625
"50" 1092.04797363281 2079.71728515625 6633.677734375
"51" 347.258239746094 -3740.072265625 7564.50732421875
"52" 5307.02734375 9772.5634765625 11643.1181640625
"53" -2121.75415039062 -12532.263671875 5695.13671875
"54" -498.697570800781 6327.39453125 2689.22509765625
"55" 1724.93481445312 -3330.375 4851.26318359375
"56" -1596.93664550781 -2564.38330078125 2051.54125976562
"57" -1625.91723632812 -4877.1015625 5522.68994140625
"58" 1787.1376953125 -1317.01171875 2386.08203125
"59" 1770.50073242188 -1306.54699707031 6310.2734375
"60" -1143.55261230469 -1040.27233886719 5844.76171875
"61" -849.083801269531 -7328.552734375 4959.484375
"62" -1970.6962890625 3325.20434570312 8606.3232421875
"63" -698.990539550781 728.597473144531 8632.224609375
"64" -1847.36450195312 1827.91381835938 3280.52954101562
"65" 1286.96057128906 -604.2158203125 7714.431640625
"66" -90.8579483032227 53.3015213012695 9744.0751953125
"67" 3487.890625 -12111.05078125 4925.9345703125
"68" 1606.51281738281 2834.89575195312 5998.298828125
"69" 1701.7783203125 -188.204833984375 2689.22485351562
"70" 3629.9111328125 -12489.06640625 4602.35986328125
"71" -7238.33740234375 12540.55078125 8599.3759765625
"72" 23.3504848480225 -6426.1298828125 6971.7236328125
"73" 305.592987060547 -12558.7646484375 5331.95703125
"74" 1811.79467773438 3692.53369140625 4996.31640625
"75" -1827.80676269531 -1170.45751953125 3773.58056640625
"76" 1908.13891601562 1313.54125976562 3304.6669921875
"77" -1860.63720703125 -6748.78515625 3153.18359375
"78" 367.676635742188 1152.74975585938 11541.2578125
"79" -999.418701171875 -7328.552734375 4652.4404296875
"80" -1536.29577636719 1955.80126953125 6402.314453125
"81" 6781.83154296875 13544.287109375 11546.5673828125
"82" 4479.14794921875 9004.6572265625 11524.9482421875
"83" 1847.53002929688 1808.32458496094 3269.13232421875
"84" -1354.67492675781 -7328.5537109375 3488.84106445312
"85" -1837.67504882812 3011.14208984375 3558.91748046875
"86" 5248.19921875 -945.224548339844 8526.53125
"87" -1912.48620605469 2386.45361328125 2924.18505859375
"88" -2164.06713867188 -1432.09692382812 2680.49389648438
"89" 3664.62182617188 -13754.00390625 3932.62133789062
"90" -35.9298248291016 -413.0556640625 10251.482421875
"91" -4913.36181640625 -7500.12109375 8546.5908203125
"92" 1776.68627929688 -1697.87683105469 4446.8662109375
"93" 598.064575195312 2018.44323730469 6909.2216796875
